country,ccode,ccode_gw,ccode_polity,year,month,day,coup,version,Contributor,Status,Link to Narrative,~ Time to complete,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,,,,,,,,,
Venezuela,101,,,2002,4,12,1,V2026.01.13,Reece,Need to be fact checked,Venezuela 4-11-2002.docx,,,,,,,,,,,,,,,,,
Burundi,516,,,2001,4,18,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Burundi,516,,,2001,7,22,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Central African Republic,482,,,2001,5,28,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Ivory Coast,437,,,2001,1,6,1,V2026.01.13,Reece,Research,,,,,,,,,,,,,,,,,,
Comoros,581,,,2000,3,21,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Djibouti,522,,,2000,12,7,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,2000,1,21,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Fiji,950,,,2000,5,29,2,V2026.01.13,Tucker,Need to be fact checked,Fiji 2000 Coup Attempt.docx,,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,2000,11,23,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Ivory Coast,437,,,2000,9,18,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Paraguay,150,,,2000,5,18,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Peru,135,,,2000,10,30,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1999,4,30,2,V2026.01.13,Tucker,Need to be fact checked,Comoros 1999 coup attempt,,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,1999,5,7,2,V2026.01.13,Tucker,Need to be fact checked,Guinea Bissau 1999 Coup Attempt,,,,,,,,,,,,,,,,,
Honduras,91,,,1999,7,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ivory Coast,437,,,1999,12,24,2,V2026.01.13,Tucker,Need to be fact checked,Ivory Coast 1999 Coup Attempt,,,,,,,,,,,,,,,,,
Niger,436,,,1999,4,9,2,V2026.01.13,Tucker,Need to be fact checked,Niger 1999 Coup Attempt,,,,,,,,,,,,,,,,,
Pakistan,770,,,1999,10,12,2,V2026.01.13,Reece,Need to be fact checked,Pakistan_Oct12_1999 (1).docx,,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,1998,6,7,1,V2026.01.13,Reece,Need to be fact checked,GuineaBissau_Jun7_1998 - Copy.docx,,,,,,,,,,,,,,,,,
Cambodia,811,,,1997,7,5,2,V2026.01.13,Reece,Need to be fact checked,Cambodia_Jul5_1997.docx,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1997,5,25,2,V2026.01.13,Reece,Need to be fact checked,SierraLeone_May25_1997 - Copy.docx,,,,,,,,,,,,,,,,,
Zambia,551,,,1997,10,28,1,V2026.01.13,Reece,Need to be fact checked,Zambia_Oct28_1997.docx,,,,,,,,,,,,,,,,,
Bangladesh,771,,,1996,5,20,1,V2026.01.13,Reece,Need to be fact checked,Bangladesh_May20_1996.docx,,,,,,,,,,,,,,,,,
Burundi,516,,,1996,7,25,2,V2026.01.13,Reece,Need to be fact checked,Burundi_Jul25_1996_1.docx,,,,,,,,,,,,,,,,,
Guinea,438,,,1996,2,3,1,V2026.01.13,Reece,Need to be fact checked,1996-02-03_Guinea_Feb3_1996.docx,,,,,,,,,,,,,,,,,
Niger,436,,,1996,1,27,2,V2026.01.13,Reece,Need to be fact checked,1996-01-27_Niger_Jan27_1996.docx,,,,,,,,,,,,,,,,,
Qatar,694,,,1996,2,20,1,V2026.01.13,Reece,Need to be fact checked,need to find,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1996,1,16,2,V2026.01.13,Reece,Need to be fact checked,1996-01-16_SierraLeone_Jan16_1996.docx,,,,,,,,,,,,,,,,,
Azerbaijan,373,,,1995,3,13,1,V2026.01.13,Reece,Need to be fact checked,1995-03-13_Azerbaijan_Mar13_1995.docx,,,,,,,,,,,,,,,,,
Iraq,645,,,1995,6,15,1,V2026.01.13,Reece,Need to be fact checked,1995-06-15_Iraq_Jun15_1995.docx,,,,,,,,,,,,,,,,,
Qatar,694,,,1995,6,27,2,V2026.01.13,Reece,Need to be fact checked,1995-06-27_Qatar_Jun27_1995.docx,,,,,,,,,,,,,,,,,
Sao Tome and Principe,403,,,1995,8,15,1,V2026.01.13,Reece,Need to be fact checked,1995-08-15_SaoTome_Aug15_1995.docx,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1995,10,2,1,V2026.01.13,Reece,Need to be fact checked,1995-10-02_SierraLeone_Oct2_1995.docx,,,,,,,,,,,,,,,,,
Azerbaijan,373,,,1994,10,4,1,V2026.01.13,Reece,Need to be fact checked,1994-10-04_Azerbaijan_Oct4_1994.docx,,,,,,,,,,,,,,,,,
Gambia,420,,,1994,7,23,2,V2026.01.13,Reece,Need to be fact checked,1994-07-23_Gambia_Jul23_1994.docx,,,,,,,,,,,,,,,,,
Gambia,420,,,1994,11,11,1,V2026.01.13,Reece,Need to be fact checked,1994-11-11_Gambia_Nov11_1994.docx,,,,,,,,,,,,,,,,,
Lesotho,570,,,1994,8,17,2,V2026.01.13,Reece,Need to be fact checked,1994-08-17_Lesotho_Aug17_1994.docx,,,,,,,,,,,,,,,,,
Liberia,450,,,1994,9,15,1,V2026.01.13,Reece,Need to be fact checked,1994-09-15_Liberia_Sep15_1994.docx,,,,,,,,,,,,,,,,,
Rwanda,517,,,1994,4,7,2,V2026.01.13,Reece,Need to be fact checked,https://luky-my.sharepoint.com/:w:/g/personal/rgha234_uky_edu/IQB8YK4V6JfqTb571qH_RR7VAXiO5c60tQhq6BaYA3bQ_eY?e=JJvmHU,,,,,,,,,,,,,,,,,
Burundi,516,,,1993,7,3,1,V2026.01.13,Reece,Need to be fact checked,1993-07-03_REVISED_Burundi_Jul3_1993.docx,,,,,,,,,,,,,,,,,
Burundi,516,,,1993,10,21,1,V2026.01.13,Reece,Need to be fact checked,1993-10-21_REVISED_Burundi_Oct21_1993.docx,,,,,,,,,,,,,,,,,
Chad,483,,,1993,1,27,    ,V2026.01.13,Reece,Need to be fact checked,need to find,,,,,,,,,,,,,,,,,
Libya,620,,,1993,10,23,1,V2026.01.13,Reece,Need to be fact checked,1993-10-23_REVISED_Libya_Oct23_1993.docx,,,,,,,,,,,,,,,,,
Nigeria,475,,,1993,11,17,2,V2026.01.13,Reece,Need to be fact checked,1993-11-17_REVISED_Nigeria_Nov17_1993.docx,,,,,,,,,,,,,,,,,
Afghanistan,700,,,1992,4,15,2,V2026.01.13,Tucker,,,,,,,,,,,,,,,,,,,
Algeria,615,,,1992,1,11,2,V2026.01.13,Tucker,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1992,9,26,1,V2026.01.13,Tucker,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1992,6,15,1,V2026.01.13,Tucker,,,,,,,,,,,,,,,,,,,
Madagascar,580,,,1992,7,29,1,V2026.01.13,Reece,Need to be fact checked,1992-07-29_REVISED_Madagascar_Jul29_1992.docx,,,,,,,,,,,,,,,,,
Peru,135,,,1992,11,13,1,V2026.01.13,Reece,Need to be fact checked,1992-04-05_REVISED_Peru_Apr5_1992.docx,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1992,4,30,2,V2026.01.13,Reece,Need to be fact checked,1992-04-29_REVISED_SierraLeone_Apr29_1992.docx,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1992,12,29,1,V2026.01.13,Reece,Need to be fact checked,need to find,,,,,,,,,,,,,,,,,
Venezuela,101,,,1992,2,4,1,V2026.01.13,Reece,Need to be fact checked,1992-02-04_REVISED_Venezuela_Feb4_1992.docx,,,,,,,,,,,,,,,,,
Venezuela,101,,,1992,11,27,1,V2026.01.13,Reece,Need to be fact checked,1992-11-27_REVISED_Venezuela_Nov27_1992.docx,,,,,,,,,,,,,,,,,
Chad,483,,,1991,10,13,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1991,8,3,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1991,1,7,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1991,9,30,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1991,9,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Lesotho,570,,,1991,4,30,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mali,432,,,1991,3,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mali,432,,,1991,7,14,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Russia,365,,364,1991,8,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1991,2,23,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Togo,461,,,1991,10,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Togo,461,,,1991,10,7,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Togo,461,,,1991,11,28,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Togo,461,,,1991,12,15,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,,,1990,3,7,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Nigeria,475,,,1990,4,22,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,910,,,1990,3,14,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Philippines,840,,,1990,10,4,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Zambia,551,,,1990,6,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Chad,483,,,1989,4,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1989,11,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ethiopia,530,,,1989,5,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1989,5,9,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1989,4,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1989,4,5,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Panama,95,,,1989,10,3,1,V2026.01.13,Tucker,Need to be reviewed ,Panama 1989 Coup Attempt,~30 min,,,,,,,,,,,,,,,,
Paraguay,150,,,1989,2,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Philippines,840,,,1989,12,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1989,6,30,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1988,12,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1988,5,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1988,6,20,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1988,9,18,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Myanmar,775,,,1988,9,18,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Panama,95,,,1988,3,16,1,V2026.01.13,Tucker,Need to be reviewed ,Panama 1988 Coup Attempt.docx,< 1hr,,,,,,,,,,,,,,,,
Burkina Faso,439,,,1987,10,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burundi,516,,,1987,9,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1987,11,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Fiji,950,,,1987,5,14,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Philippines,840,,,1987,1,27,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Philippines,840,,,1987,8,27,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1987,3,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Tunisia,616,,,1987,11,7,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,696,,,1987,6,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1986,3,8,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,411,,,1986,7,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1986,2,7,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Lesotho,570,,,1986,1,20,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Philippines,840,,,1986,7,6,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen People's Republic; S. Yemen,680,,,1986,1,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1985,3,8,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guinea,438,,,1985,7,4,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Liberia,450,,,1985,4,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Liberia,450,,,1985,11,12,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Nigeria,475,,,1985,8,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1985,4,6,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1985,9,9,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Uganda,500,,,1985,7,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1984,6,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Cameroon,471,,,1984,4,6,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1984,3,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guinea,438,,,1984,4,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mauritania,435,,,1984,12,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burkina Faso,439,,,1983,8,4,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1983,6,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Grenada,55,,,1983,10,14,2,V2026.01.13,Reece,Drafting,Grenada 1983,1.5 hours,,,,,,,,,,,,,,,,
Guatemala,90,,,1983,8,8,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Niger,436,,,1983,10,5,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Nigeria,475,,,1983,12,31,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Swaziland,572,,,1983,8,10,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bangladesh,771,,,1982,3,24,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burkina Faso,439,,,1982,11,7,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1982,11,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1982,3,23,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Kenya,501,,,1982,8,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mauritania,435,,,1982,2,6,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1982,1,31,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bangladesh,771,,,1981,5,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1981,5,15,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1981,5,25,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1981,6,27,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1981,8,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Central African Republic,482,,,1981,9,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Dominica,54,,,1981,12,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Gambia,420,,,1981,7,29,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1981,12,31,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Spain,230,,,1981,2,23,1,V2026.01.13,Tucker,Need to be reviewed ,Spain 1981 Coup Attempt.docx,,,,,,,,,,,,,,,,,
Thailand,800,,,1981,4,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1980,7,17,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burkina Faso,439,,,1980,11,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,1980,11,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Liberia,450,,,1980,4,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mauritania,435,,,1980,1,4,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Suriname,115,,,1980,2,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Suriname,115,,,1980,8,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Turkey,640,,,1980,9,10,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Uganda,500,,,1980,5,11,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Zambia,551,,,1980,10,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1979,10,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1979,11,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
El Salvador,92,,,1979,10,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,411,,,1979,8,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1979,5,15,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1979,6,4,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Grenada,55,,,1979,3,13,2,V2026.01.13,Reece,Drafting,Grenada 1979,1.5 hours,,,,,,,,,,,,,,,,
Afghanistan,700,,,1978,4,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1978,7,21,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1978,11,24,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Cambodia,811,,,1978,5,15,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1978,5,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1978,7,5,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1978,8,7,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mali,432,,,1978,2,15,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
